19-04-19.15:52:31.217 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/readers/parameter/ParameterRequiredReader.class]
19-04-19.15:52:31.220 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/readers/parameter/ParameterTypeReader.class]
19-04-19.15:52:31.227 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsBootstrapper.class]
19-04-19.15:52:31.229 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsManager.class]
19-04-19.15:52:31.280 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/plugins/WebMvcRequestHandlerProvider.class]
19-04-19.15:52:31.289 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/paths/OperationPathDecorator.class]
19-04-19.15:52:31.296 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/paths/PathMappingDecorator.class]
19-04-19.15:52:31.309 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/paths/PathSanitizer.class]
19-04-19.15:52:31.315 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/paths/QueryStringUriTemplateDecorator.class]
19-04-19.15:52:31.342 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-spring-web/2.2.2/springfox-spring-web-2.2.2.jar!/springfox/documentation/spring/web/caching/CachingAspect.class]
19-04-19.15:52:31.422 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/DefaultModelProvider.class]
19-04-19.15:52:31.427 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/ModelDependencyProvider.class]
19-04-19.15:52:31.430 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/TypeNameExtractor.class]
19-04-19.15:52:31.433 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/plugins/SchemaPluginsManager.class]
19-04-19.15:52:31.442 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/property/FactoryMethodProvider.class]
19-04-19.15:52:31.444 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/property/ObjectMapperBeanPropertyNamingStrategy.class]
19-04-19.15:52:31.448 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/property/OptimizedModelPropertiesProvider.class]
19-04-19.15:52:31.449 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/property/bean/AccessorsProvider.class]
19-04-19.15:52:31.455 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: URL [jar:file:/C:/Users/k2/.m2/repository/io/springfox/springfox-schema/2.2.2/springfox-schema-2.2.2.jar!/springfox/documentation/schema/property/field/FieldProvider.class]
